Mes,Nubank,Mercado Pago,Itau,Recorrencia,Despesa Total,Salario,Saldo,,,
ABR,"R$ 325,00","R$ 1.520,00","R$ 604,00","R$ 763,21","R$ 3.212,21","R$ 6.900,00","R$ 3.687,79",,,
MAI,"R$ 325,00","R$ 1.434,00","R$ 604,00","R$ 763,21","R$ 3.126,21","R$ 6.900,00","R$ 3.773,79",,,
JUN,"R$ 325,00","R$ 1.434,00","R$ 412,00","R$ 763,21","R$ 2.934,21","R$ 6.900,00","R$ 3.965,79",,,
JUL,"R$ 325,00","R$ 1.338,00","R$ 412,00","R$ 763,21","R$ 2.838,21","R$ 6.900,00","R$ 4.061,79",,,
AGO,"R$ 325,00","R$ 1.101,00","R$ 412,00","R$ 763,21","R$ 2.601,21","R$ 6.900,00","R$ 4.298,79",,,
SET,"R$ 325,00","R$ 1.101,00","R$ 362,00","R$ 763,21","R$ 2.551,21","R$ 6.900,00","R$ 4.348,79",,,
OUT,"R$ 325,00","R$ 1.077,00","R$ 362,00","R$ 763,21","R$ 2.527,21","R$ 6.900,00","R$ 4.372,79",,,
NOV,"R$ 325,00","R$ 1.026,00","R$ 362,00","R$ 763,21","R$ 2.476,21","R$ 6.900,00","R$ 4.423,79",,,
DEZ,"R$ 325,00","R$ 1.026,00","R$ 247,00","R$ 763,21","R$ 2.361,21","R$ 6.900,00","R$ 4.538,79",,,
TOTAL,"R$ 2.925,00","R$ 11.057,00","R$ 3.777,00","R$ 6.868,89","R$ 24.627,89","R$ 62.100,00","R$ 37.472,11",,,

Recorrencia,Spotify,Claro,IA,prime,ingles,1password,meli+,google one,netflix,
,"R$ 23,90","R$ 60,00","R$ 200,00","R$ 19,90","R$ 355,50","R$ 21,61","R$ 9,90","R$ 12,50","R$ 59,90",

